K,mean_generations,std_generations,mean_evaluations,std_evaluations,mean_elapsed_time,success_rate,target_neurons,target_inputs,target_connections,K_label
1,70.9,24.727781095252702,16165.1,4939.992977834345,492.40804175138476,1.0,11,1,30,K01
2,85.0,25.49509756796392,18978.5,5093.605263361833,595.9582978248596,1.0,27,2,75,K02
3,82.75,17.468392508817324,18542.55,3526.780886080259,540.2733483433724,0.95,14,1,42,K03
4,91.65,41.43514272488486,20324.25,8290.501831519068,630.7939877867699,0.95,8,1,14,K04
5,83.25,32.47164755193124,18630.9,6488.67859307352,589.7511165738106,1.0,22,1,92,K05
6,276.1,116.4089434075542,57250.65,23250.636082470384,2231.5156416654586,0.25,30,0,232,K06
7,99.8,27.175065970965292,21933.25,5429.669834636163,668.4725975394249,1.0,31,1,124,K07
8,90.4,14.886942353336996,20058.7,2976.38351907673,608.0074694871903,1.0,27,2,103,K08
9,105.45,40.783736438618966,23076.0,8169.913064022419,788.0163779377938,0.95,19,0,87,K09
10,62.25,31.504176832520745,14435.85,6296.504053211217,422.74197484254836,1.0,20,2,54,K10
11,120.45,47.010049317588525,26111.8,9431.294037461275,806.0670311570168,0.8,10,1,18,K11
12,166.95,35.81160499937945,35441.05,7230.287178361516,1138.1559735655785,0.6,14,0,76,K12
13,77.7,27.838065571027773,17522.8,5562.38887150968,549.8372035503387,1.0,9,0,35,K13
14,71.45,29.018097801199858,16277.05,5799.48968240446,464.98532502651216,1.0,17,1,34,K14
15,179.8,67.01735831700228,37961.15,13432.55390646172,1250.473779118061,0.8,18,0,119,K15
16,88.5,23.73427457230754,19679.1,4738.570191857233,615.4629524230957,1.0,31,2,87,K16
17,260.95,104.37960831301748,54216.35,20844.70197556204,2075.0264091849326,0.4,23,0,223,K17
18,169.05,65.74550214753538,35763.95,13129.633996882976,1192.2669890403747,1.0,27,1,142,K18
19,261.15,169.1978832143314,54265.85,33812.57389488958,2078.202682697773,0.35,28,0,189,K19
20,88.25,48.44082119343908,19635.4,9682.312399965534,556.4330346107483,1.0,15,1,32,K20
