run,generations,best_fitness,evaluations,elapsed_time,neurons,inputs,connections,distinct_fitnesses,distinct_genomes,avg_fitness
1,55,0.9999999999999432,3236,232.1735589504242,7,2,10,453,487,0.3316723474839749
2,5,0.999999999999889,749,23.859687328338623,6,2,15,209,499,0.02177237917620812
3,13,0.9999999999999432,1147,58.199414014816284,7,2,15,301,497,0.06135550079713414
4,22,0.9999999999999432,1596,95.30068373680115,7,1,17,443,499,0.13868905902931863
5,4,0.9999999999999432,698,19.947489023208618,7,2,13,189,498,0.016208340608754937
6,19,0.9999999999676692,1445,79.71772503852844,8,2,16,423,495,0.08620155856121861
7,22,0.9999999999988882,1592,90.44449019432068,7,2,14,388,492,0.096611320232712
8,70,0.9999999999977833,3966,281.74223589897156,10,0,18,392,467,0.7934171758109826
9,9,0.9999999987622863,949,40.397884130477905,7,2,17,360,499,0.0597684633637823
10,3,0.9999999999999432,649,18.020492792129517,10,1,36,196,499,0.02484090546439437
11,0,0.9999999999999432,500,6.5791239738464355,7,1,13,114,500,0.010120503463338364
12,27,0.9999999999999432,1845,108.61471199989319,6,1,13,473,495,0.18077739914746035
13,1,0.9999999999999432,550,10.658194065093994,6,1,13,139,500,0.014785030902074435
14,55,0.9999999995260882,3228,240.04681205749512,11,2,19,372,482,0.6982569529423184
15,5,0.9999999999996299,749,23.805742979049683,7,1,14,221,499,0.02797724679100337
16,21,0.9999999999978053,1546,84.73034000396729,6,2,16,377,496,0.11193260549818704
17,3,0.9999999929834908,649,16.28598403930664,7,1,16,186,499,0.016883053126160195
18,0,0.9999999997704729,500,6.506042957305908,6,2,10,109,500,0.013556330119354225
19,1,0.9999999999066813,550,10.66740107536316,8,2,22,144,500,0.022386738308103015
20,0,0.9999999999998723,500,6.475175142288208,6,2,8,129,500,0.007307302517216732
21,18,0.9999999999999432,1395,93.13911771774292,9,2,20,431,495,0.1299056438672693
22,7,0.9999999999076097,849,37.68104100227356,10,0,19,283,499,0.036203142542287715
23,0,0.9999999999999432,500,7.0290281772613525,7,2,12,109,500,0.012375338317226323
24,0,0.9999999999999432,500,6.599490165710449,7,2,13,128,500,0.009133371068561729
25,24,0.9999999946437408,1695,114.51360011100769,6,2,12,409,496,0.13599873486550484
26,49,0.9999999999998823,2937,232.8583800792694,6,2,9,459,489,0.3073674394442815
27,114,0.9979674386665921,6208,627.2660181522369,49,0,64,81,482,0.9182217674284191
28,1,0.9999999999999432,550,11.26995301246643,7,2,10,144,500,0.007999255498353564
